word,categories
cardia,"['bio', 'health']"
cardio,"['bio', 'health']"
cards,['leisure']
care,"['verb', 'present', 'affect', 'posemo']"
cared,"['verb', 'past', 'affect', 'posemo']"
career,['work']
carefree,"['affect', 'posemo']"
careful,"['affect', 'posemo', 'cogmech', 'inhib']"
careless,"['affect', 'negemo']"
cares,"['verb', 'present', 'affect', 'posemo']"
caress,"['percept', 'feel']"
caring,"['affect', 'posemo']"
carpet,['home']
carried,"['verb', 'past', 'motion', 'relativ']"
carrier,"['motion', 'relativ']"
carries,"['verb', 'present', 'motion', 'relativ']"
carry,"['verb', 'present', 'motion', 'relativ']"
carrying,"['motion', 'relativ']"
cash,['money']
casino,"['leisure', 'money']"
casket,['death']
casual,"['affect', 'posemo', 'leisure']"
casually,"['affect', 'posemo']"
casualt,['death']
catch,"['relativ', 'motion']"
categor,"['cogmech', 'insight']"
catholic,['relig']
caught,"['verb', 'past', 'relativ', 'motion']"
caus,"['cogmech', 'cause']"
caut,"['cogmech', 'inhib']"
cd,['leisure']
cease,"['cogmech', 'inhib', 'time', 'relativ']"
ceasing,"['cogmech', 'inhib', 'time', 'relativ']"
ceiling,"['space', 'relativ']"
celebrat,"['social', 'achieve', 'leisure']"
celebrit,['leisure']
cell,['social']
cellphon,['social']
cells,['social']
cellular,['social']
cemet,['death']
cent,['money']
center,"['space', 'relativ']"
centre,"['space', 'relativ']"
cents,['money']
centur,"['time', 'relativ']"
ceo,['work']
certain,"['affect', 'posemo', 'cogmech', 'certain']"
certif,['work']
cetera,"['funct', 'quant']"
chairm,['work']
chalk,['work']
challeng,"['affect', 'posemo', 'work', 'achieve']"
champ,"['affect', 'posemo', 'work', 'achieve']"
chance,"['cogmech', 'tentat']"
change,"['relativ', 'motion', 'cogmech', 'cause']"
changed,"['verb', 'past', 'relativ', 'motion', 'cogmech', 'cause']"
changes,"['relativ', 'motion', 'cogmech', 'cause']"
changing,"['relativ', 'motion', 'cogmech', 'cause']"
channel,['leisure']
chapel,['relig']
chaplain,['relig']
charit,"['affect', 'posemo', 'money']"
charm,"['affect', 'posemo']"
chat,"['social', 'leisure']"
cheap,['money']
cheat,"['affect', 'negemo', 'anger']"
check,['money']
checkers,['leisure']
checking,['money']
checks,['money']
checkup,"['bio', 'health']"
cheek,"['bio', 'body']"
cheer,"['affect', 'posemo']"
chequ,['money']
cherish,"['affect', 'posemo']"
chess,['leisure']
chest,"['bio', 'body']"
chew,"['bio', 'ingest']"
chick,"['social', 'humans']"
chick,"['social', 'humans']"
child,"['social', 'humans']"
child,"['social', 'humans']"
childhood,"['relativ', 'time']"
children,"['social', 'humans']"
